Plaats,Woon- plaats- code,Postcode (laagste tot hoogste),Gemeente met link naar gemeentelijke website,Provincie
Molenpolder,,3602–3612,Stichtse Vecht,Utrecht
Molenrij,,9977–9977,Het Hogeland,Groningen
Molenschot,2069,5124–5124,Gilze en Rijen,Noord-Brabant
Molenstad,,7991–7991,Westerveld,Drenthe
Molenstraat,,5268–5268,Haaren,Noord-Brabant
Molenstraat,,5175–5175,Loon op Zand,Noord-Brabant
Molenveld,,5521–5521,Eersel,Noord-Brabant
Molenvliet,,4691–4691,Tholen,Zeeland
Molenwijk,,5427–5427,Boekel,Noord-Brabant
Molkwerum / Molkwar,1967,8722–8722,Súdwest-Fryslân,Fryslân
Molsberg,,6369–6369,Simpelveld,Limburg
Monnickendam,1944,1141–1141,Waterland,Noord-Holland
Monnikendijk,,4474–4474,Goes,Zeeland
Monster,2659,2681–2681,Westland,Zuid-Holland
Montfoort,1964,3417–3417,Montfoort,Utrecht
Montfort,2592,6065–6065,Roerdalen,Limburg
Montsamabuorren,,8844–8844,Súdwest-Fryslân,Fryslân
Mook,2803,6585–6585,Mook en Middelaar,Limburg
Mookhoek,2796,3293–3293,Hoeksche Waard,Zuid-Holland
Moordhuizen,,6626–6626,West Maas en Waal,Gelderland
Moordrecht,1244,2841–2841,Zuidplas,Zuid-Holland
Moorsel,,5715–5715,Someren,Noord-Brabant
Moorveld,1464,6237–6237,Meerssen,Limburg
Moriaanshoofd,,4321–4321,Schouwen-Duiveland,Zeeland
Morige,,9797–9697,Westerwolde,Groningen
Morra / Moarre,3404,9135–9135,Noardeast-Fryslân,Fryslân
Morsche Hoef,,5469–5469,Meierijstad,Noord-Brabant
De Mortel,2093,5425–5425,Gemert-Bakel,Noord-Brabant
Mortel,,6088–6088,Leudal,Limburg
Mosbulten,,5491–5491,Meierijstad,Noord-Brabant
Mosik,,5525–5525,Eersel,Noord-Brabant
Moskou,,8435–9241,Ooststellingwerf,Fryslân
Mossel,,7251–7251,Bronckhorst,Gelderland
Mossel,,6731–6731,Ede,Gelderland
Mosselaar,,5684–5684,Best,Noord-Brabant
Mosselhoek,,4691–4691,Tholen,Zeeland
Most,,5975–5975,Horst aan de Maas,Limburg
Mostheuvel,,5513–5513,Eersel,Noord-Brabant
Mounebuorren,,9132–9132,Noardeast-Fryslân,Fryslân
Muggenbeet,,8356–8356,Steenwijkerland,Overijssel
Muggenberg,,5591–5591,Heeze-Leende,Noord-Brabant
Muggenhol,,5509–5509,Veldhoven,Noord-Brabant
Muggenhool,,5571–5571,Bergeijk,Noord-Brabant
Muiden,3632,1398–1398,Gooise Meren,Noord-Holland
Muiderberg,1519,1399–1399,Gooise Meren,Noord-Holland
De Muis,,4574–4574,Terneuzen,Zeeland
Muizenhol,,5761–5761,Gemert-Bakel,Noord-Brabant
De Mulderij,,7701–7701,Hardenberg,Overijssel
Mullegen,,8096–8096,Oldebroek,Gelderland
Mun,,5374–5374,Landerd,Noord-Brabant
Munnekeburen / Munnekebuorren,1725,8485–8485,Weststellingwerf,Fryslân
Munnekemoer,,9561–9561,Westerwolde,Groningen
Munnekens-Vinkel,,5384–5384,Bernheze,Noord-Brabant
Munnekens-Vinkel,,5383–5383,s-Hertogenbosch,Noord-Brabant
Munnekezijl / Muntsjesyl,3312,9853–9853,Noardeast-Fryslân,Fryslân
Munnikenheide,,4714–4714,Rucphen,Noord-Brabant
Munstergeleen,2816,6151–6151,Sittard-Geleen,Limburg
Munsterscheveld,,7881–7881,Emmen,Drenthe
De Munte,,4501–4501,Sluis,Zeeland
Muntendam,2278,9649–9649,Midden-Groningen,Groningen
Musschendorp,,3791–3791,Leusden,Utrecht
Mussel,3077,9584–9584,Stadskanaal,Groningen
Musselkanaal,3075,9581–9581,Stadskanaal,Groningen
Mûnein / Molenend,2446,9063–9063,Tytsjerksteradiel,Fryslân
Naaldwijk,2660,2671–2673,Westland,Zuid-Holland
Naarden,1052,1411–1412,Gooise Meren,Noord-Holland
Naarderbuorren,,9005–9005,Leeuwarden,Fryslân
Nabbegat,,5411–5411,Landerd,Noord-Brabant
De Nachtegaal,,5812–5815,Venray,Limburg
Nachtegaal,,5871–5871,Horst aan de Maas,Limburg
Nagelbeek,,6365–6365,Beekdaelen,Limburg
Nagele,1278,8308–8308,Noordoostpolder,Flevoland
Nansum,,9905–9905,Delfzijl,Groningen
Napels,,9674–9674,Oldambt,Groningen
Nattenhoven,,6129–6129,Stein,Limburg
Neder-Hardinxveld,,3371–3371,Hardinxveld-Giessendam,Zuid-Holland
Nederasselt,3497,6612–6612,Heumen,Gelderland
Nederbiel,,7274–7274,Berkelland,Gelderland
Nederheide,,4721–4721,Rucphen,Noord-Brabant
Nederhemert,2633,5317–5318,Zaltbommel,Gelderland
Nederhemert-Noord,,5317–5317,Zaltbommel,Gelderland
Nederhemert-Zuid,,5318–5318,Zaltbommel,Gelderland
Nederhorst den Berg,3003,1394–1394,Wijdemeren,Noord-Holland
Nederland,2706,8362–8362,Steenwijkerland,Overijssel
Nederweert,2037,6031–6031,Nederweert,Limburg
Nederweert-Eind,2039,6034–6034,Nederweert,Limburg
Nederweerterdijk,,5768–5768,Peel en Maas,Limburg
Nederwetten,,5674–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Nederwoud,,6741–6741,Ede,Gelderland
Neede,1656,7161–7161,Berkelland,Gelderland
Neer,2952,6086–6086,Leudal,Limburg
Neerbeek,,6191–6191,Beek,Limburg
Neerbroek,,5427–5427,Boekel,Noord-Brabant
Neerdorp,,7451–7451,Rijssen-Holten,Overijssel
Neereind,,5091–5091,Oirschot,Noord-Brabant
Neerijnen,3363,4182–4182,West Betuwe,Gelderland
Neeritter,2953,6015–6015,Leudal,Limburg
Neerkant,1777,5758–5758,Deurne,Noord-Brabant
Neerlangel,3261,5355–5355,Oss,Noord-Brabant
Neerloon,3262,5356–5356,Oss,Noord-Brabant
Neersteind,,6631–6631,Druten,Gelderland
Neerstraat,,5761–5761,Gemert-Bakel,Noord-Brabant
Negenhuizen,,2636–2636,Midden-Delfland,Zuid-Holland
Nekkeveld,,3861–3861,Nijkerk,Gelderland
Nergena,,5282–5282,Boxtel,Noord-Brabant
Nergena,,6721–6721,Ede,Gelderland
Nerhoven,,5126–5126,Gilze en Rijen,Noord-Brabant
Nes,2588,9163–9163,Ameland,Fryslân
Nes,3405,9143–9143,Noardeast-Fryslân,Fryslân
Nes,3603,8494–8494,Heerenveen,Fryslân
Nes aan de Amstel,,1189–1189,Amstelveen,Noord-Holland
Nessersluis,,3646–3646,De Ronde Venen,Utrecht
Netersel,1068,5534–5534,Bladel,Noord-Brabant
Nettelhorst,,7241–7241,Lochem,Gelderland
Netterden,1583,7077–7077,Oude IJsselstreek,Gelderland
Niawier / Nijewier,3406,9138–9138,Noardeast-Fryslân,Fryslân
Nibbixwoud,3153,1688–1688,Medemblik,Noord-Holland
Niebert,2264,9364–9365,Westerkwartier,Groningen
Niehove,2121,9884–9884,Westerkwartier,Groningen
Niekerk,3422,9972–9972,Het Hogeland,Groningen
Niekerk,2178,9822–9822,Westerkwartier,Groningen
Niemeskant,,5408–5408,Uden,Noord-Brabant
Nierhoven,,6361–6361,Beekdaelen,Limburg
Niersen,,8171–8171,Epe,Gelderland
Niesoord,,9681–9681,Oldambt,Groningen
Nietap,1642,9312–9312,Noordenveld,Drenthe
Nieuw Acht,,5651–5651,Eindhoven,Noord-Brabant
Nieuw Amerika / Nij Amerika,,8566–8566,De Fryske Marren,Fryslân
Nieuw Annerveen,1171,9657–9657,Aa en Hunze,Drenthe
Nieuw Beerta,1421,9687–9687,Oldambt,Groningen
Nieuw Heeten,,8112–8112,Raalte,Overijssel
Nieuw Milligen,,3888–3888,Apeldoorn,Gelderland
Nieuw Scheemda,,9943–9943,Oldambt,Groningen
Nieuw Scheemda,1894,9943–9943,Oldambt,Groningen
Nieuw Wehl,,7031–7031,Doetinchem,Gelderland
Nieuw(-)Bergen (?),,5854–5854,Bergen,Limburg
Nieuw- en Sint Joosland,1009,4339–4339,Middelburg,Zeeland
Nieuw- en Winnerstraat,,6035–6035,Nederweert,Limburg
Nieuw-Abeele,,4335–4335,Middelburg,Zeeland
Nieuw-Amsterdam,1993,7833–7833,Emmen,Drenthe
Nieuw-Balinge,3018,7938–7938,Midden-Drenthe,Drenthe
Nieuw-Beijerland,2887,3264–3264,Hoeksche Waard,Zuid-Holland
Nieuw-Buinen,1797,9521–9521,Borger-Odoorn,Drenthe
Nieuw-Dijk,,6942–6942,Montferland,Gelderland
Nieuw-Dordrecht,1994,7885–7885,Emmen,Drenthe
Nieuw-Gassel,,5438–5438,Grave,Noord-Brabant
Nieuw-Groevenbeek,,3852–3852,Ermelo,Gelderland
Nieuw-Haamstede,,4328–4328,Schouwen-Duiveland,Zeeland
Nieuw-Heeten,1499,8112–8112,Raalte,Overijssel
Nieuw-Lekkerland,2795,2957–2957,Molenlanden,Zuid-Holland
Nieuw-Loosdrecht,,1231–1231,Wijdemeren,Noord-Holland
Nieuw-Namen,,4568–4568,Hulst,Zeeland
Nieuw-Reemst,,6731–6731,Ede,Gelderland
Nieuw-Roden,1643,9311–9311,Noordenveld,Drenthe
Nieuw-Schoonebeek,1995,7766–7766,Emmen,Drenthe
Nieuw-Vennep,1602,2151–2153,Haarlemmermeer,Noord-Holland
Nieuw-Vossemeer,1404,4681–4681,Steenbergen,Noord-Brabant
Nieuw-Weerdinge,1996,7831–7831,Emmen,Drenthe
Nieuw-Zwinderen,,7864–7864,Coevorden,Drenthe
Nieuwaal,2634,5313–5313,Zaltbommel,Gelderland
Nieuwdorp,1259,4455–4455,Borsele,Zeeland
Nieuwe Compagnie,,9605–9605,Midden-Groningen,Groningen
Nieuwe Dijk,,5674–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
De Nieuwe Hoeven,,6035–6035,Nederweert,Limburg
Nieuwe Krim,,7741–7741,Coevorden,Drenthe
Nieuwe Molen,,4661–4661,Bergen op Zoom,Noord-Brabant
Nieuwe Pekela,1398,9663–9663,Pekela,Groningen
Nieuwe Schans,,6626–6626,West Maas en Waal,Gelderland
Nieuwe Statenzijl,,9688–9688,Oldambt,Groningen
Nieuwe Strumpt,,5113–5113,Baarle-Nassau,Noord-Brabant
Nieuwe Vaart,,8404–8404,Opsterland,Fryslân
Nieuwe Wetering,3037,2376–2376,Kaag en Braassem,Zuid-Holland
Nieuwe Wetering,,8294–8294,Zwartewaterland,Overijssel
Nieuwe-Niedorp,,1733–1733,Hollands Kroon,Noord-Holland
Nieuwe-Tonge,3144,3244–3244,Goeree-Overflakkee,Zuid-Holland
Nieuwe-Vaart,,5161–5161,Waalwijk,Noord-Brabant
Nieuwe-Wetering,,3737–3737,De Bilt,Utrecht
Nieuwebildtzijl / Nije-Syl,,9078–9078,Waadhoeke,Fryslân
Nieuwebrug,,7731–7731,Ommen,Overijssel
Nieuwebrug / Nijbrêge,2496,8469–8469,De Fryske Marren,Fryslân
Nieuwediep,1172,9512–9512,Aa en Hunze,Drenthe
Nieuwegein,1108,3431–3439,Nieuwegein,Utrecht
Nieuwehorne / Nijhoarne,2194,8414–8414,Heerenveen,Fryslân
Nieuwemolen,,4793–4793,Moerdijk,Noord-Brabant
Nieuwemolen,,4576–4576,Terneuzen,Zeeland
Nieuwenberg,,4704–4704,Roosendaal,Noord-Brabant
Nieuwendijk,,3284–3284,Hoeksche Waard,Zuid-Holland
Nieuwendijk,2216,4255–4255,Altena,Noord-Brabant
Nieuwenhagen,,6373–6373,Landgraaf,Limburg
Nieuwenhoorn,,3222–3223,Hellevoetsluis,Zuid-Holland
Nieuwer Ter Aa,1394,3626–3626,Stichtse Vecht,Utrecht
Nieuwerbrug aan den Rijn (?),2666,2415–2415,Bodegraven-Reeuwijk,Zuid-Holland
Nieuwerhoek,,3632–3632,Stichtse Vecht,Utrecht
Nieuwerkerk,2680,4306–4306,Schouwen-Duiveland,Zeeland
Nieuwerkerk aan den IJssel,1016,2911–2914,Zuidplas,Zuid-Holland
Nieuwerkerke (Schutje),,4321–4321,Schouwen-Duiveland,Zeeland
Nieuweroord,1815,7911–7912,Hoogeveen,Drenthe
Nieuweroord,3017,7938–7938,Midden-Drenthe,Drenthe
Nieuwersluis,2221,3631–3631,Stichtse Vecht,Utrecht
Nieuweschans,,9693–9693,Oldambt,Groningen
Nieuweschoot / Nijskoat,2187,8452–8452,Heerenveen,Fryslân
Nieuwesluis,,1766–1766,Hollands Kroon,Noord-Holland
Nieuwgraaf,,6921–6921,Duiven,Gelderland
Nieuwkerk,,5051–5051,Goirle,Noord-Brabant
Nieuwklap,,9746–9746,Westerkwartier,Groningen
Nieuwkoop,2667,2421–2421,Nieuwkoop,Zuid-Holland
Nieuwkuijk,3502,5253–5253,Heusden,Noord-Brabant
Nieuwland,,4521–4521,Terneuzen,Zeeland
Nieuwland,2111,4243–4243,Vijfheerenlanden,Utrecht
Nieuwland / Nylân,,9132–9132,Noardeast-Fryslân,Fryslân
Nieuwlande,1816,7918–7918,Hoogeveen,Drenthe
Nieuwlande,,7929–7929,Coevorden,Drenthe
Nieuwlandse Molen,,4521–4521,Terneuzen,Zeeland
Nieuwleusen,1239,7711–7711,Dalfsen,Overijssel
Nieuwolda,1896,9944–9944,Oldambt,Groningen
Nieuwolda-Oost,,9944–9944,Oldambt,Groningen
Nieuwpoort,1807,2965–2965,Molenlanden,Zuid-Holland
Nieuwstad,,9906–9906,Delfzijl,Groningen
Nieuwstad,,8274–8274,Kampen,Overijssel
Nieuwstadt,2047,6118–6118,Echt-Susteren,Limburg
Nieuwveen,2670,2441–2441,Nieuwkoop,Zuid-Holland
Nieuwvliet,2969,4504–4504,Sluis,Zeeland
Nieuwvliet-Bad,,4504–4504,Sluis,Zeeland
Niezijl,2122,9841–9842,Westerkwartier,Groningen
Niftrik,2569,6606–6606,Wijchen,Gelderland
Nigtevecht,2222,1393–1393,Stichtse Vecht,Utrecht
Nij Altoenae,3330,9072–9072,Waadhoeke,Fryslân
Nij Beets,3352,9245–9245,Opsterland,Fryslân
Nijbroek,2607,7397–7397,Voorst,Gelderland
Nijbuorren,,8584–8584,Súdwest-Fryslân,Fryslân
Nijeberkoop / Nijeberkeap,1761,8422–8422,Ooststellingwerf,Fryslân
Nijega / Nyegea,3284,9217–9217,Smallingerland,Fryslân
Nijehaske,3521,8466–8466,De Fryske Marren,Fryslân
Nijeholtpade / Nijeholtpea,1726,8475–8475,Weststellingwerf,Fryslân
Nijeholtwolde / Nijeholtwâlde,1727,8488–8488,Weststellingwerf,Fryslân
Nijelamer / Nijelemmer,1728,8487–8487,Weststellingwerf,Fryslân
Nijemirdum / Nijemardum,1679,8566–8566,De Fryske Marren,Fryslân
Nijenklooster,,9977–9977,Het Hogeland,Groningen
Nijenklooster,,9904–9904,Delfzijl,Groningen
Nijensleek,3116,8383–8383,Westerveld,Drenthe
Nijetrijne / Nijetrine,1729,8481–8481,Weststellingwerf,Fryslân
Nijeveen,1083,7948–7948,Meppel,Drenthe
Nijeveense Bovenboer,,7948–7948,Meppel,Drenthe
Nijezijl / Nijesyl,,8651–8651,Súdwest-Fryslân,Fryslân
Nijhoven,,5111–5111,Baarle-Nassau,Noord-Brabant
Nijhuizum / Nijhuzum,1972,8775–8775,Súdwest-Fryslân,Fryslân
Nijken,,6088–6088,Leudal,Limburg
Nijkerk,3606,3861–3863,Nijkerk,Gelderland
Nijkerkerveen,3607,3864–3864,Nijkerk,Gelderland
Nijland / Nijlân,2414,8771–8771,Súdwest-Fryslân,Fryslân
Nijlande,1173,9452–9452,Aa en Hunze,Drenthe
Nijmegen,3030,6511–6546,Nijmegen,Gelderland
Nijnsel,,5491–5491,Meierijstad,Noord-Brabant
Nijstad,,7908–7908,Hoogeveen,Drenthe
Nijswiller,,6286–6286,Gulpen-Wittem,Limburg
Nijvelaar,,5275–5275,Sint-Michielsgestel,Noord-Brabant
Nijverdal,3584,7441–7443,Hellendoorn,Overijssel
Nispen,1591,4709–4709,Roosendaal,Noord-Brabant
Nispense Achterhoek,,4721–4721,Rucphen,Noord-Brabant
Nisse,1260,4443–4443,Borsele,Zeeland
Nistelrode,3062,5388–5388,Bernheze,Noord-Brabant
Noardburgum / Noordbergum-dorp,2450,9257–9257,Tytsjerksteradiel,Fryslân
Noenes,,5076–5076,Haaren,Noord-Brabant
Noetsele,,7441–7441,Hellendoorn,Overijssel
Nolde,,7921–7921,De Wolden,Drenthe
Nooitgedacht,1174,9449–9449,Aa en Hunze,Drenthe
Nooitgedacht,,9909–9909,Delfzijl,Groningen
Noorbeek,1696,6255–6255,Eijsden-Margraten,Limburg
Noord,,5446–5446,Sint Anthonis,Noord-Brabant
Noord Deurningen,,7591–7591,Dinkelland,Overijssel
Noord-Empe,,7383–7383,Voorst,Gelderland
Noord-Meer,,7683–7683,Twenterand,Overijssel
Noord-Scharwoude,1118,1723–1723,Langedijk,Noord-Holland
Noord-Sleen,2159,7846–7846,Coevorden,Drenthe
Noord-Stegeren,,7701–7701,Hardenberg,Overijssel
Noordbarge,,7812–7812,Emmen,Drenthe
Noordbeemster,2171,1463–1463,Beemster,Noord-Holland
Noordbroek,2279,9635–9635,Midden-Groningen,Groningen
Noordbroeksterhamrik,,9635–9635,Midden-Groningen,Groningen
Noorddijk,,9734–9734,Groningen,Groningen
Noordeind / Noardein,,9089–9089,Leeuwarden,Fryslân
Noordeinde,1905,1485–1485,Alkmaar,Noord-Holland
Noordeinde,,4481–4481,Goes,Zeeland
Noordeinde,,2435–2435,Nieuwkoop,Zuid-Holland
Noordeinde,,8079–8079,Oldebroek,Gelderland
Noordeinde,,3628–3628,Stichtse Vecht,Utrecht
Noordeloos,1436,4225–4225,Molenlanden,Zuid-Holland
t Noorden,,7912–7912,Hoogeveen,Drenthe
Noorden,2668,2431–2432,Nieuwkoop,Zuid-Holland
Noorderburen,,9804–9804,Westerkwartier,Groningen
Noorderhoogebrug,,9738–9738,Groningen,Groningen
Noorderkolonie,,9663–9663,Pekela,Groningen
Noordgouwe,2681,4317–4317,Schouwen-Duiveland,Zeeland
Noordhoek,1325,4759–4759,Moerdijk,Noord-Brabant
Noordhoek,,4735–4735,Rucphen,Noord-Brabant
Noordhorn,2123,9804–9804,Westerkwartier,Groningen
Noordhornerga,,9804–9804,Westerkwartier,Groningen
Noordhornertolhek,,9804–9804,Westerkwartier,Groningen
Noordijk,,7161–7161,Berkelland,Gelderland
Noordijk,,7597–7597,Dinkelland,Overijssel
Noordink,,7255–7255,Bronckhorst,Gelderland
Noordkant,,5845–5845,Sint Anthonis,Noord-Brabant
Noordlaren,1268,9479–9479,Groningen,Groningen
Noordpolderzijl,,9988–9988,Het Hogeland,Groningen
Noordschans,,4791–4791,Moerdijk,Noord-Brabant
Noordscheschut,1817,7914–7914,Hoogeveen,Drenthe
Noordse Dorp,,2435–2435,Nieuwkoop,Zuid-Holland
Noordsebuurt,,2432–2432,Nieuwkoop,Zuid-Holland
Noordstraat,,4588–4588,Hulst,Zeeland
Noordwelle,2682,4326–4326,Schouwen-Duiveland,Zeeland
Noordwijk,,7958–7958,De Wolden,Drenthe
Noordwijk,2265,9824–9824,Westerkwartier,Groningen
Noordwijk,2061,2201–2204,Noordwijk,Zuid-Holland
Noordwijk aan Zee,,2202–2202,Noordwijk,Zuid-Holland
Noordwijk-Binnen,,2201–2203,Noordwijk,Zuid-Holland
Noordwijkerhout,1927,2211–2211,Noordwijk,Zuid-Holland
Noordwolde,2830,9784–9784,Het Hogeland,Groningen
Noordwolde / Noardwâlde,1730,8391–8391,Weststellingwerf,Fryslân
Noordwolde-zuid / Noardwâlde-Súd,,8391–8391,Weststellingwerf,Fryslân
Noordzijde,,2411–2411,Bodegraven-Reeuwijk,Zuid-Holland
Nootdorp,1142,2631–2631,Pijnacker-Nootdorp,Zuid-Holland
Norg,1644,9331–9331,Noordenveld,Drenthe
Norgervaart,,9421–9421,Midden-Drenthe,Drenthe
Notendaal,,4655–4655,Steenbergen,Noord-Brabant
Notsel,,4858–4858,Alphen-Chaam,Noord-Brabant
Notter,1090,7467–7467,Wierden,Overijssel
Noukoop,,2641–2641,Pijnacker-Nootdorp,Zuid-Holland
Nuenen,2136,5671–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Nuijeneind,,5761–5761,Gemert-Bakel,Noord-Brabant
Nuil,,7933–7933,Hoogeveen,Drenthe
Nuis,2266,9364–9364,Westerkwartier,Groningen
Den Nul,,8121–8121,Olst-Wijhe,Overijssel
Nuland,3611,5391–5392,s-Hertogenbosch,Noord-Brabant
Numansdorp,2372,3281–3281,Hoeksche Waard,Zuid-Holland
Numero Dertien,,9644–9644,Veendam,Groningen
Nummer Eén,,4513–4513,Sluis,Zeeland
Nunhem,2954,6083–6083,Leudal,Limburg
Nunspeet,2982,8071–8072,Nunspeet,Gelderland
Nuth,2358,6361–6361,Beekdaelen,Limburg
Nutter,1411,7638–7638,Dinkelland,Overijssel
Nykleaster,,8629–8629,Súdwest-Fryslân,Fryslân
Obbicht,2817,6125–6125,Sittard-Geleen,Limburg
Obdam,1187,1713–1713,Koggenland,Noord-Holland
Ochten,1097,4051–4051,Neder-Betuwe,Gelderland
Ockhuizen,,3455–3455,Utrecht,Utrecht
Odijk,2604,3984–3984,Bunnik,Utrecht
Odiliapeel,1849,5409–5409,Uden,Noord-Brabant
Odoorn,1798,7873–7873,Borger-Odoorn,Drenthe
Odoorn,1799,7874–7874,Borger-Odoorn,Drenthe
Oeffelt,1219,5441–5441,Boxmeer,Noord-Brabant
Oegstgeest,2744,2341–2343,Oegstgeest,Zuid-Holland
Oeijenbraak,,5715–5715,Someren,Noord-Brabant
Oekel,,4891–4891,Zundert,Noord-Brabant
Oeken,,6971–6971,Brummen,Gelderland
Oele,,7554–7554,Hengelo,Overijssel
Oene,1347,8167–8167,Epe,Gelderland
Oensel,,5301–5327,Maasdriel,Gelderland
Oensel,,6333–6333,Beekdaelen,Limburg
Oensel,,5301–5327,Zaltbommel,Gelderland
Oentsjerk / Oenkerk,2443,9062–9062,Tytsjerksteradiel,Fryslân
Oerle,,5507–5507,Veldhoven,Noord-Brabant
Oetelaar,,5481–5481,Meierijstad,Noord-Brabant
t Oever,,3882–3882,Putten,Gelderland
Den Oever,,7825–7825,Emmen,Drenthe
Den Oever,1489,1779–1779,Hollands Kroon,Noord-Holland
Oevereind,,6116–6116,Echt-Susteren,Limburg
Offingawier / Offenwier,3506,8626–8626,Súdwest-Fryslân,Fryslân
Ofwegen,,2481–2481,Kaag en Braassem,Zuid-Holland
Ohé en Laak,1923,6109–6109,Maasgouw,Limburg
Oijen,3470,5394–5394,Oss,Noord-Brabant
Oijen,,5995–5995,Peel en Maas,Limburg
Oirlo,3604,5808–5808,Venray,Limburg
Oirsbeek,2101,6438–6438,Beekdaelen,Limburg
Oirschot,1207,5688–5689,Oirschot,Noord-Brabant
Oisterwijk,2646,5061–5063,Oisterwijk,Noord-Brabant
Oisterwijkse Hoeven,,5062–5062,Oisterwijk,Noord-Brabant
Okkenbroek,2859,7435–7435,Deventer,Overijssel
Okswerd,,9841–9841,Westerkwartier,Groningen
Olburgen,1529,7225–7225,Bronckhorst,Gelderland
Oldeberkoop / Aldeberkeap,1762,8421–8421,Ooststellingwerf,Fryslân
Oldebroek,3071,8096–8096,Oldebroek,Gelderland
Oldeholtpade / Aldeholtpea,1731,8474–8474,Weststellingwerf,Fryslân
Oldeholtwolde / Aldeholtwâlde,1732,8477–8477,Weststellingwerf,Fryslân
Oldehove,2124,9883–9883,Westerkwartier,Groningen
Oldekerk,2179,9821–9821,Westerkwartier,Groningen
Oldelamer / Aldlemmer,1733,8486–8486,Weststellingwerf,Fryslân
Oldemarkt,2707,8375–8375,Steenwijkerland,Overijssel
Olden Eibergen,,7151–7151,Berkelland,Gelderland
Oldendiever,,7981–7981,Westerveld,Drenthe
Oldeneel,,8016–8016,Zwolle,Overijssel
Oldenhave,,7963–7963,De Wolden,Drenthe
Oldenklooster,,9905–9905,Delfzijl,Groningen
Oldenzaal,1668,7571–7577,Oldenzaal,Overijssel
Oldenzijl,3476,9986–9986,Het Hogeland,Groningen
Oldenzijl,,9951–9951,Het Hogeland,Groningen
Oldeouwer / Alde Ouwer,2498,8515–8515,De Fryske Marren,Fryslân
Oldetrijne / Aldetrine,1734,8479–8479,Weststellingwerf,Fryslân
Oldörp,,9981–9981,Het Hogeland,Groningen
Olen,,5674–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Olen,,5694–5694,Son en Breugel,Noord-Brabant
Oler,,6037–6037,Leudal,Limburg
Oling,,9903–9903,Appingedam,Groningen
Olland,,5491–5491,Meierijstad,Noord-Brabant
Olst,1379,8121–8121,Olst-Wijhe,Overijssel
Olterterp,3353,9246–9246,Opsterland,Fryslân
Ommel,2930,5724–5724,Asten,Noord-Brabant
Ommelanderwijk,,9644–9644,Veendam,Groningen
Ommen,3629,7731–7731,Ommen,Overijssel
Ommeren,3381,4032–4032,Buren,Gelderland
Ommerenveld,,4032–4032,Buren,Gelderland
Ommerschans,,7739–7739,Ommen,Overijssel
Onder de Molen,,4698–4698,Tholen,Zeeland
Onder Eindt,,5988–5988,Peel en Maas,Limburg
Onderdendam,2831,9959–9959,Het Hogeland,Groningen
Onderwierum,,9959–9959,Het Hogeland,Groningen
Onna,2708,8344–8344,Steenwijkerland,Overijssel
Onnen,1269,9755–9755,Groningen,Groningen
Onsenoort,,5254–5254,Heusden,Noord-Brabant
Onstwedde,3076,9591–9591,Stadskanaal,Groningen
Ooij,2877,6576–6576,Berg en Dal,Gelderland
Ooij,,4054–4054,Neder-Betuwe,Gelderland
Ooijen,,5871–5871,Horst aan de Maas,Limburg
Ool,,6049–6049,Roermond,Limburg
Oolde,,7245–7245,Lochem,Gelderland
Ooltgensplaat,2133,3257–3257,Goeree-Overflakkee,Zuid-Holland
Oomsberg,,9581–9581,Stadskanaal,Groningen
Den Oord,,3961–3961,Wijk bij Duurstede,Utrecht
Oost Vlieland / East-Flylân,,8899–8899,Vlieland,Fryslân
Oost West en Middelbeers,1208,5091–5091,Oirschot,Noord-Brabant
Oost-Graftdijk,3554,1487–1487,Alkmaar,Noord-Holland
Oost-Maarland,,6245–6245,Eijsden-Margraten,Limburg
Oost-Souburg,1076,4388–4388,Vlissingen,Zeeland
Oostappen,,5724–5724,Asten,Noord-Brabant
Oostbroek,,6243–6243,Meerssen,Limburg
Oostburg,2960,4501–4501,Sluis,Zeeland
Oostburgsche Brug,,4501–4501,Sluis,Zeeland
Oostbuurt,,2678–2678,Westland,Zuid-Holland
Oostdijk,,3252–3252,Goeree-Overflakkee,Zuid-Holland
Oostdijk,3464,4415–4415,Reimerswaal,Zeeland
Het Oosteind,,4714–4714,Rucphen,Noord-Brabant
Oosteind,2957,4909–4909,Oosterhout,Noord-Brabant
Oosteind,,3356–3356,Papendrecht,Zuid-Holland
Oosteind,,5144–5144,Waalwijk,Noord-Brabant
Oosteinde,,1432–1432,Aalsmeer,Noord-Holland
Oosteinde,,7961–7961,De Wolden,Drenthe
Oosteinde,,9983–9983,Het Hogeland,Groningen
Oosteinde,,2182–2182,Hillegom,Zuid-Holland
Oosteinde (?),,2361–2361,Teylingen,Zuid-Holland
Oostelbeers,,5091–5091,Oirschot,Noord-Brabant
Oostendam,,2989–2989,Ridderkerk,Zuid-Holland
Ooster-Dalfsen,,7722–7722,Dalfsen,Overijssel
Oosterbeek,2990,6861–6862,Renkum,Gelderland
Oosterbierum / Easterbierrum,1375,8854–8854,Waadhoeke,Fryslân
Oosterblokker,3619,1696–1696,Drechterland,Noord-Holland
Oosterboorn / Easterboarn,,8495–8495,Heerenveen,Fryslân
Oosterbroek,,9761–9761,Tynaarlo,Drenthe
Oostereinde,,9672–9672,Oldambt,Groningen
